sr,tender_number,title,description,ppra_category,reference,organization,location,status,advertised_date,closing_date,closing_time,detail_url,category,closing_dt,scraped_at
1213,TS0000011182E,Procurement of Printing Services for Credit Manuals,,Printing,ZTBL-15-2026,Ministry of Finance,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 28, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011182E,Services,2026-08-28,2026-08-30T06:06:58.732314
1214,TS0000011192E,"TENDER NOTICE (REVERSE PROCUREMENT) BUSINESS OPPORTUNITY AT ALLAMA IQBAL INTERNATIONAL AIRPORT, LAHORE ESTABLISHMENT AND OPERATION OF BRANDED COFFEE OUTLET IN FOOD COURT OF INTERNATIONAL DEPARTURE LOUNGE","TENDER NOTICE (REVERSE PROCUREMENT) BUSINESS OPPORTUNITY AT ALLAMA IQBAL INTERNATIONAL AIRPORT, LAHORE ESTABLISHMENT AND OPERATION OF BRANDED COFFEE OUTLET IN FOOD COURT OF INTERNATIONAL DEPARTURE LOUNGE TENDER NOTICE (REVERSE PROCUREMENT) BUSINESS...",Services,12466,Pakistan Airports Authority (PAA),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 28, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011192E,Services,2026-08-28,2026-08-30T06:06:58.732314
1215,TS0000011214E,MILITARY ENGINEER SERVICES - NOTICE OF TENDER,,Civil Goods,GE (N) MAINT ORMARA Letter No.6000-PPRA/02/E-6 dated 07 Aug 2026,Ministry of Defence,Karachi - Pakistan,Published,"Aug 10, 2026","Aug 28, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011214E,Services,2026-08-28,2026-08-30T06:06:58.732314
1216,TS0000009009E,SPORTS AMMO,SPORTS AMMO,Clothing/Uniform,2090360/B2011/360189,Directorate of Procurement (Navy),Islamabad - Pakistan,PublishedCorrigendum,"Aug 10, 2026","Aug 27, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000009009E,Other,2026-08-27,2026-08-30T06:06:58.732314
1217,TS0000011162E,Auction of Official Vehicles,Auction/disposal of Official Vehicles Auction/disposal of Official Vehicles,Miscellaneous,No.F.14(06)/2025 Gen,President's Secretariat (Public),Islamabad - Pakistan,PublishedCorrigendum,"Aug 10, 2026","Aug 27, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011162E,Auction/Land,2026-08-27,2026-08-30T06:06:58.732314
1218,TS0000011164E,Hiring of Security Services,Auqaf Directorate (Shrine Wing) invites...,Services,Auq-Sh/2026,Ministry of Religious Affairs & Interfaith Harmony,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",12:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011164E,Services,2026-08-27,2026-08-30T06:06:58.732314
1219,TS0000010400E,PROC OF SPARES,TENDER NO PACB/786-A/26113045/0532/P-4 FOR...,Miscellaneous,PACB/786-A/26113045/0532/P-4,Ministry of Defence Production,Rawalpindi - Pakistan,PublishedCorrigendum,"Aug 10, 2026","Aug 27, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000010400E,Goods/Supplies,2026-08-27,2026-08-30T06:06:58.732314
1220,TS0000011168E,Procurement of AI-Powered Employee Performance & Appraisal Management System,Procurement of AI-Powered Employee Performance...,Miscellaneous,(NICL/Procurement/2026/27),National Insurance Company Limited (NICL),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",10:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011168E,IT/Technology,2026-08-27,2026-08-30T06:06:58.732314
1221,TS0000011170E,Sevice & Maint Contract of Modular Operation Theater.,,Health/Medicines,4145-EM(Svc & Maint)-26(01)-LP-Pur-Hosp dated 29-07-2026,Ministry of Defence Production,Wah Cantt - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",09:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011170E,Medical/Health,2026-08-27,2026-08-30T06:06:58.732314
1222,TS0000011197E,Tender for Repair of Chiller Control Cards of PNSC Building,for details please visit: https://pnsc.com.pk/tenders The Pakistan National Shipping Corporation...,Miscellaneous,P82153,Pakistan National Shipping Corporation (PNSC),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011197E,Construction/Works,2026-08-27,2026-08-30T06:06:58.732314
1223,TS0000011205E,CIVIL CONSTRUCTION DIVISION GSC LESCO TENDER NO. 01 (2026-27),,Civil Works,CIVIL CONSTRUCTION DIVISION GSC LESCO TENDER NO. 01 (2026-27),Ministry of Energy (Power Division),Lahore - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011205E,Construction/Works,2026-08-27,2026-08-30T06:06:58.732314
1224,TS0000011207E,Hiring for consultancy services of AI-Powered DIRBS Digital Intelligence System,Hiring for consultancy services of AI-Powered DIRBS Digital Intelligence System Hiring for consultancy services of AI-Powered...,Info and Comm Tech,PTA/ICT/P53228/2026,Cabinet Division,Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011207E,IT/Technology,2026-08-27,2026-08-30T06:06:58.732314
1225,TS0000011209E,Tyres,Tyres,Miscellaneous,FCS/SDQ/TE/030/26,Sui Northern Gas Pipelines Limited (SNGPL),Sadiqabad - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011209E,Defence/Military,2026-08-27,2026-08-30T06:06:58.732314
1226,TS0000011210E,"Outsourcing of Photocopy Services for NTC RHQ, 6-Race Course Road, Lahore for a Period of Three (03) Years","Outsourcing of Photocopy Services for NTC  RHQ, 6-Race Course Road, Lahore for a Period  of Three (03) Years Outsourcing of Photocopy Services for NTC RHQ,...",Miscellaneous,DNTC-LH/Photocopy-Services/2026,Ministry of IT and TeleCommunication,Lahore - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",11:00 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011210E,Services,2026-08-27,2026-08-30T06:06:58.732314
1227,TS0000011215E,"Tender Notice for Loading & Transportation of Rock Salt from Makrach Mine No.63 at PMDC Salt Mines, Makrach","Tender Notice for Loading & Transportation of Rock Salt from Makrach Mine No.63 at PMDC Salt Mines, Makrach Tender Notice for Loading & Transportation of...",Mining,Ref.No.PMDC/PRO/Mine No.63/MKH,Pakistan Mineral Development Corporation (PMDC),Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011215E,Other,2026-08-27,2026-08-30T06:06:58.732314
1228,TS0000011218E,SSGC/LP/EPADS2/NR/2178245 (WELDER'S PROTECTIVE MATERIAL),SSGC/LP/EPADS2/NR/2178245 (WELDER'S PROTECTIVE MATERIAL) WELDER'S PROTECTIVE MATERIAL: ♦ GLOVES...,Miscellaneous,SSGC/LP/EPADS2/NR/2178245,Ministry of Energy (Petroleum Division),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011218E,Goods/Supplies,2026-08-27,2026-08-30T06:06:58.732314
1229,TS0000011220E,"EP-63 Safe loading, Unloading, Carriage, Transportation, Assembling, Excavation, Erection, Complete Earthing, Making of Concrete Foundation, Curing and Back Filling of HT Steel Structure (58’) Under the Jurisdiction of XEN South Construction Division, LESCO",,Miscellaneous,P81271 / EP-63,Lahore Electric Supply Company (LESCO),Lahore - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",11:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011220E,Construction/Works,2026-08-27,2026-08-30T06:06:58.732314
1230,TS0000011225E,Multiple Tenders for Procurement of Goods & Services,,Miscellaneous,PD/IDP/PP/34259/26,Pakistan Petroleum Limited (PPL),Karachi - Pakistan,Published,"Aug 10, 2026","Aug 27, 2026",03:00 PM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011225E,Services,2026-08-27,2026-08-30T06:06:58.732314
1231,TS0000011165E,Invitations to e-Bids & Extension Notice,OGDC-SCM-SERVICES-CB-PnP-60-4255-330117927-2026,Miscellaneous,70/05,Oil and Gas Development Company Limited (OGDCL),Islamabad - Pakistan,Published,"Aug 10, 2026","Aug 26, 2026",10:30 AM,https://epms.ppra.gov.pk/public/tenders/tender-details/TS0000011165E,Other,2026-08-26,2026-08-30T06:06:58.732314
